MUNICIPIO	CODIGO INE	POBLACION	MEDIA DE PARADOS	RENTAS NETAS DECLARADAS	ADSL	COBERTURA ADSL 10 Mbps	COBERTURA FIBRA	COBERTURA INALAMBRICAS 30 Mbps	COBERTURA LTE 4G
Villaharta	14068	751	97,24999997	2850265	106	Entre 90 y 100	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Villanueva de Córdoba	14069	9326	859,25	39185663	1129	Entre 90 y 100	Entre 0 y 10	Entre 0 y 10	Entre 80 y 90
Villanueva del Duque	14070	1582	184,0833333	6877059	221	Entre 90 y 100	Entre 0 y 10	Entre 0 y 10	Entre 0 y 10
Villanueva del Rey	14071	1134	176,8333334	4880869	177	Entre 90 y 100	Entre 0 y 10	Entre 0 y 10	Entre 40 y 50
Villaralto	14072	1262	91,91666665	5052312	110	Entre 80 y 90	Entre 60 y 70	Entre 0 y 10	Entre 90 y 100
Villaviciosa de Córdoba	14073	3511	448,25	12328372	107	Entre 90 y 100	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Viso (El)	14074	2723	284,1666667	11411267	435	Entre 90 y 100	Entre 0 y 10	Entre 0 y 10	Entre 80 y 90
Zuheros	14075	710	34,74999999	3324179	125	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100	Entre 30 y 40
Agrón	18001	324	26,41666666	637113	0	Entre 60 y 70	Entre 90 y 100	Entre 90 y 100	Entre 90 y 100
Alamedilla	18002	695	32,25000001	1472785	58	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100	Entre 80 y 90
Albolote	18003	18082	2294,083333	125060009	2497	Entre 0 y 10	Entre 0 y 10	Entre 80 y 90	Entre 90 y 100
Albondón	18004	814	66,25000003	2308047	64	Entre 60 y 70	Entre 0 y 10	Entre 30 y 40	Entre 90 y 100
Albuñán	18005	423	33,58333334	1521038	56	Entre 80 y 90	Entre 0 y 10	Entre 80 y 90	Entre 20 y 30
Albuñol	18006	6878	665,4166667	22755525	773	Entre 90 y 100	Entre 0 y 10	Entre 90 y 100	Entre 0 y 10
Albuñuelas	18007	879	65,58333333	3179051	121	Entre 70 y 80	Entre 0 y 10	Entre 80 y 90	Entre 90 y 100
Aldeire	18010	653	37,99999998	2742888	111	Entre 60 y 70	Entre 0 y 10	Entre 10 y 20	Entre 80 y 90
Alfacar	18011	5552	708,5	31965255	1139	Entre 90 y 100	Entre 0 y 10	Entre 70 y 80	Entre 90 y 100
Algarinejo	18012	2943	94,33333334	8792152	304	Entre 90 y 100	Entre 50 y 60	Entre 90 y 100	Entre 90 y 100
Alhama de Granada	18013	6154	521,1666667	22306670	847	Entre 0 y 10	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Alhendín	18014	8020	1110,5	52080217	1436	Entre 0 y 10	Entre 0 y 10	Entre 60 y 70	Entre 40 y 50
Alicún de Ortega	18015	506	23,08333335	1126731	75	Entre 60 y 70	Entre 30 y 40	Entre 80 y 90	Entre 90 y 100
Almegíjar	18016	377	22,24999997	780134	22	Entre 90 y 100	Entre 0 y 10	Entre 90 y 100	Entre 90 y 100
Almuñécar	18017	25586	3433,5	117444793	3523	Entre 70 y 80	Entre 0 y 10	Entre 90 y 100	Entre 60 y 70
Alpujarra de la Sierra	18904	1044	69,91666667	3220480	132	Entre 40 y 50	Entre 0 y 10	Entre 50 y 60	Entre 50 y 60
Alquife	18018	733	83,91666664	2761007	124	Entre 80 y 90	Entre 80 y 90	Entre 90 y 100	Entre 90 y 100
Arenas del Rey	18020	1929	129,4166666	4949162	152	Entre 80 y 90	Entre 80 y 90	Entre 90 y 100	Entre 90 y 100
Armilla	18021	22904	3190,416667	142384976	2192	Entre 80 y 90	Entre 50 y 60	Entre 90 y 100	Entre 90 y 100
Atarfe	18022	17141	2427,583333	90257955	1946	Entre 0 y 10	Entre 0 y 10	Entre 0 y 10	Entre 0 y 10
Baza	18023	21258	2227,666667	4131419	1582	Entre 80 y 90	Entre 0 y 10	Entre 0 y 10	Entre 0 y 10
Beas de Granada	18024	1016	95,16666668	953840	134	Entre 90 y 100	Entre 0 y 10	Entre 90 y 100	Entre 90 y 100
Beas de Guadix	18025	366	49,5	11670391	46	Entre 50 y 60	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Benalúa	18027	3301	509,0833333	108931353	511	Entre 60 y 70	Entre 0 y 10	Entre 90 y 100	Entre 90 y 100
Benalúa de las Villas	18028	1252	76,83333331	3738036	184	Entre 90 y 100	Entre 0 y 10	Entre 90 y 100	Entre 90 y 100
Benamaurel	18029	2445	169,6666666	7984286	197	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100	Entre 90 y 100
Bérchules	18030	759	53,5	2214618	104	Entre 0 y 10	Entre 0 y 10	Entre 80 y 90	Entre 90 y 100
Bubión	18032	337	45,41666665	1172449	92	Entre 50 y 60	Entre 0 y 10	Entre 0 y 10	Entre 10 y 20
Busquístar	18033	265	42,91666668	983509	51	Entre 80 y 90	Entre 0 y 10	Entre 90 y 100	Entre 90 y 100
Cacín	18034	601	47,74999997	1764648	105	Entre 50 y 60	Entre 90 y 100	Entre 90 y 100	Entre 90 y 100
Cádiar	18035	1515	129,1666667	5169840	262	Entre 90 y 100	Entre 0 y 10	Entre 90 y 100	Entre 10 y 20
Cájar	18036	4837	463,5833333	44443927	596	Entre 90 y 100	Entre 0 y 10	Entre 90 y 100	Entre 90 y 100
Calahorra (La)	18114	754	72,24999999	2948104	121	Entre 90 y 100	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Calicasas	18037	564	76,08333334	2382620	101	Entre 80 y 90	Entre 0 y 10	Entre 90 y 100	Entre 90 y 100
Campotéjar	18038	1334	94,16666666	4796148	212	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100	Entre 50 y 60
Caniles	18039	4722	396,1666667	14873302	516	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100	Entre 90 y 100
Cáñar	18040	462	33,9166667	540142	39	Entre 80 y 90	Entre 0 y 10	Entre 90 y 100	Entre 50 y 60
Capileira	18042	484	69,58333332	2468362	106	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100	Entre 30 y 40
Carataunas	18043	162	21,3333333	319902	14	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100	Entre 90 y 100
Cástaras	18044	256	11,41666664	494111	5	Entre 40 y 50	Entre 0 y 10	Entre 90 y 100	Entre 50 y 60
Castilléjar	18045	1542	84,3333333	3991549	98	Entre 90 y 100	Entre 90 y 100	Entre 90 y 100	Entre 90 y 100
Castril	18046	2335	158,3333333	7251196	205	Entre 80 y 90	Entre 80 y 90	Entre 90 y 100	Entre 90 y 100
Cenes de la Vega	18047	7958	1022,583333	48985508	1446	Entre 90 y 100	Entre 0 y 10	Entre 60 y 70	Entre 30 y 40
Chauchina	18059	5411	692,5	21164245	1016	Entre 20 y 30	Entre 90 y 100	Entre 90 y 100	Entre 90 y 100
Chimeneas	18061	1446	111	4431726	214	Entre 90 y 100	Entre 80 y 90	Entre 90 y 100	Entre 90 y 100
Churriana de la Vega	18062	13407	1857	83708002	1600	Entre 60 y 70	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Cijuela	18048	3145	439,1666666	14317495	675	Entre 90 y 100	Entre 0 y 10	Entre 90 y 100	Entre 90 y 100
Cogollos de Guadix	18049	689	92,16666663	2227544	82	Entre 70 y 80	Entre 0 y 10	Entre 0 y 10	Entre 0 y 10
Cogollos de la Vega	18050	2016	221,5833334	7737873	333	Entre 70 y 80	Entre 0 y 10	Entre 90 y 100	Entre 60 y 70
Colomera	18051	1453	127,9166667	4338065	170	Entre 40 y 50	Entre 0 y 10	Entre 90 y 100	Entre 60 y 70
Cortes de Baza	18053	2204	119,5833334	6367654	249	Entre 90 y 100	Entre 0 y 10	Entre 90 y 100	Entre 90 y 100
Cortes y Graena	18054	1026	109,8333333	2670111	111	Entre 80 y 90	Entre 0 y 10	Entre 90 y 100	Entre 90 y 100
Cuevas del Campo	18912	1938	114,9166666	6642143	190	Entre 40 y 50	Entre 90 y 100	Entre 70 y 80	Entre 90 y 100
Cúllar	18056	4612	307,4166666	15744404	493	Entre 90 y 100	Entre 0 y 10	Entre 0 y 10	Entre 0 y 10
Cúllar Vega	18057	7090	884,6666667	44817000	1389	Entre 90 y 100	Entre 0 y 10	Entre 0 y 10	Entre 40 y 50
Darro	18063	1444	149,3333333	3889348	159	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100	Entre 90 y 100
Dehesas de Guadix	18064	458	11,83333332	872947	60	Entre 90 y 100	Entre 0 y 10	Entre 90 y 100	Entre 90 y 100
Deifontes	18066	2571	263,5833333	8050760	416	Entre 80 y 90	Entre 0 y 10	Entre 0 y 10	Entre 0 y 10
Diezma	18067	776	79,41666665	1895737	94	Entre 90 y 100	Entre 0 y 10	Entre 90 y 100	Entre 30 y 40
Dílar	18068	1743	171	11402942	420	Entre 90 y 100	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Dólar	18069	612	37,91666668	2820378	62	Entre 0 y 10	Entre 0 y 10	Entre 80 y 90	Entre 90 y 100
Dúdar	18070	358	34,08333334	2375444	75	Entre 0 y 10	Entre 0 y 10	Entre 0 y 10	Entre 0 y 10
Dúrcal	18071	7281	1015,083333	32823945	769	Entre 80 y 90	Entre 10 y 20	Entre 90 y 100	Entre 90 y 100
Escúzar	18072	773	73,16666666	3572877	162	Entre 90 y 100	Entre 0 y 10	Entre 90 y 100	Entre 30 y 40
Ferreira	18074	344	18,66666666	1265328	26	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100	Entre 0 y 10
Fonelas	18076	1051	73,49999998	2242064	89	Entre 90 y 100	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Freila	18078	990	69,16666665	3058068	113	Entre 90 y 100	Entre 0 y 10	Entre 90 y 100	Entre 0 y 10
Fuente Vaqueros	18079	4500	607,7500001	14443165	732	Entre 90 y 100	Entre 70 y 80	Entre 70 y 80	Entre 90 y 100
Gabias (Las)	18905	18946	2757,583333	119207814	3326	Entre 70 y 80	Entre 60 y 70	Entre 90 y 100	Entre 90 y 100
Galera	18082	1138	126,75	3578953	105	Entre 80 y 90	Entre 0 y 10	Entre 90 y 100	Entre 70 y 80
Gobernador	18083	326	21,5	715860	23	Entre 70 y 80	Entre 0 y 10	Entre 70 y 80	Entre 80 y 90
Gójar	18084	5379	605,5833334	43163748	792	Entre 10 y 20	Entre 0 y 10	Entre 90 y 100	Entre 90 y 100
Gor	18085	830	73,33333333	2773130	66	Entre 40 y 50	Entre 0 y 10	Entre 80 y 90	Entre 70 y 80
Gorafe	18086	445	49,58333334	1453393	58	Entre 90 y 100	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Granada (capital)	18087	237818	29284,25	2100809623	30845	Entre 70 y 80	Entre 90 y 100	Entre 90 y 100	Entre 90 y 100
Guadahortuna	18088	2027	206,0833333	3961158	175	Entre 90 y 100	Entre 0 y 10	Entre 90 y 100	Entre 90 y 100
Guadix	18089	18884	2233,083333	97019709	2235	Entre 70 y 80	Entre 60 y 70	Entre 90 y 100	Entre 90 y 100
Guájares (Los)	18906	1146	93,66666668	3334766	93	Entre 90 y 100	Entre 0 y 10	Entre 0 y 10	Entre 30 y 40
Gualchos	18093	5031	399,0000001	19522053	750	Entre 80 y 90	Entre 0 y 10	Entre 80 y 90	Entre 90 y 100
Güéjar Sierra	18094	2956	287,1666667	9760429	396	Entre 90 y 100	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Güevéjar	18095	2546	373,6666667	10744399	501	Entre 90 y 100	Entre 0 y 10	Entre 80 y 90	Entre 90 y 100
Huélago	18096	432	32,33333334	785763	37	Entre 0 y 10	Entre 0 y 10	Entre 0 y 10	Entre 0 y 10
Huéneja	18097	1193	87,41666666	4654433	121	Entre 70 y 80	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Huéscar	18098	7942	767,4166667	34163700	900	Entre 80 y 90	Entre 0 y 10	Entre 90 y 100	Entre 90 y 100
Huétor de Santillán	18099	1832	269,0833333	11593874	450	Entre 90 y 100	Entre 0 y 10	Entre 80 y 90	Entre 90 y 100
Huétor Tájar	18100	10087	864,1666667	34139045	1408	Entre 80 y 90	Entre 60 y 70	Entre 80 y 90	Entre 90 y 100
Huétor Vega	18101	11805	1269,083333	92436516	1475	Entre 30 y 40	Entre 90 y 100	Entre 80 y 90	Entre 90 y 100
Íllora	18102	10638	809,1666667	36633376	1597	Entre 80 y 90	Entre 0 y 10	Entre 90 y 100	Entre 90 y 100
Ítrabo	18103	1028	79,24999999	3170885	136	Entre 90 y 100	Entre 0 y 10	Entre 0 y 10	Entre 0 y 10
Iznalloz	18105	6925	747,5	21875449	775	Entre 90 y 100	Entre 0 y 10	Entre 60 y 70	Entre 70 y 80
Jayena	18107	1243	130,75	3775985	188	Entre 0 y 10	Entre 0 y 10	Entre 60 y 70	Entre 0 y 10
Jérez del Marquesado	18108	1038	114,8333333	3872941	189	Entre 60 y 70	Entre 0 y 10	Entre 90 y 100	Entre 80 y 90
Jete	18109	923	73,25000002	2388035	104	Entre 20 y 30	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Jun	18111	3609	401,3333333	26421447	922	Entre 90 y 100	Entre 90 y 100	Entre 90 y 100	Entre 90 y 100
Juviles	18112	135	12,41666666	480356	20	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100	Entre 50 y 60
Láchar	18115	3249	408,9166667	11323996	561	Entre 90 y 100	Entre 60 y 70	Entre 70 y 80	Entre 90 y 100
Lanjarón	18116	3791	441,6666666	15464720	437	Entre 90 y 100	Entre 0 y 10	Entre 90 y 100	Entre 90 y 100
Lanteira	18117	545	73,99999997	2357589	55	Entre 0 y 10	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Lecrín	18119	2247	182,3333334	8762472	179	Entre 70 y 80	Entre 50 y 60	Entre 60 y 70	Entre 80 y 90
Lentegí	18120	346	29,91666668	1396048	33	Entre 0 y 10	Entre 0 y 10	Entre 0 y 10	Entre 60 y 70
Lobras	18121	163	8,24999999	127045	14	Entre 0 y 10	Entre 0 y 10	Entre 60 y 70	Entre 90 y 100
Loja	18122	21135	2134,583333	91787364	1586	Entre 60 y 70	Entre 20 y 30	Entre 90 y 100	Entre 90 y 100
Lugros	18123	333	23,75	780840	48	Entre 90 y 100	Entre 0 y 10	Entre 0 y 10	Entre 0 y 10
Lújar	18124	524	27,08333337	1486463	38	Entre 0 y 10	Entre 0 y 10	Entre 80 y 90	Entre 40 y 50
Malahá (La)	18126	1858	278,5	6882163	331	Entre 90 y 100	Entre 0 y 10	Entre 90 y 100	Entre 90 y 100
Maracena	18127	21594	2959,5	118613550	1760	Entre 70 y 80	Entre 90 y 100	Entre 90 y 100	Entre 90 y 100
Marchal	18128	427	54,75000001	1053677	38	Entre 0 y 10	Entre 0 y 10	Entre 0 y 10	Entre 60 y 70
Moclín	18132	4136	327,3333333	14589495	452	Entre 60 y 70	Entre 0 y 10	Entre 90 y 100	Entre 70 y 80
Molvízar	18133	2982	243,5833333	7938727	284	Entre 90 y 100	Entre 0 y 10	Entre 90 y 100	Entre 90 y 100
Monachil	18134	7359	938,4166667	52185453	1235	Entre 30 y 40	Entre 50 y 60	Entre 90 y 100	Entre 80 y 90
Montefrío	18135	5853	331,6666666	19828983	668	Entre 60 y 70	Entre 0 y 10	Entre 0 y 10	Entre 80 y 90
Montejícar	18136	2308	136	6348847	294	Entre 90 y 100	Entre 0 y 10	Entre 90 y 100	Entre 90 y 100
Montillana	18137	1349	67,16666664	3912174	149	Entre 80 y 90	Entre 0 y 10	Entre 0 y 10	Entre 0 y 10
Moraleda de Zafayona	18138	3233	294,1666667	10291869	511	Entre 40 y 50	Entre 0 y 10	Entre 40 y 50	Entre 90 y 100
Morelábor	18909	736	44,16666668	2204472	85	Entre 40 y 50	Entre 0 y 10	Entre 90 y 100	Entre 40 y 50
Motril	18140	61194	7332,666667	318661543	5616	Entre 80 y 90	Entre 40 y 50	Entre 90 y 100	Entre 90 y 100
Murtas	18141	605	37,91666667	1013809	45	Entre 0 y 10	Entre 0 y 10	Entre 0 y 10	Entre 80 y 90
Nevada	18903	1174	104,6666666	2814603	124	Entre 70 y 80	Entre 0 y 10	Entre 80 y 90	Entre 70 y 80
Nigüelas	18143	1238	127	4818031	86	Entre 70 y 80	Entre 50 y 60	Entre 90 y 100	Entre 90 y 100
Nívar	18144	883	96,33333332	6959472	234	Entre 10 y 20	Entre 0 y 10	Entre 90 y 100	Entre 90 y 100
Ogíjares	18145	13598	1491,5	110956986	2236	Entre 70 y 80	Entre 50 y 60	Entre 90 y 100	Entre 90 y 100
Orce	18146	1292	77,08333333	3955679	119	Entre 80 y 90	Entre 0 y 10	Entre 90 y 100	Entre 90 y 100
Órgiva	18147	5739	724,4166666	21709819	798	Entre 70 y 80	Entre 0 y 10	Entre 90 y 100	Entre 90 y 100
Otívar	18148	1136	110,5	3032272	150	Entre 90 y 100	Entre 0 y 10	Entre 70 y 80	Entre 10 y 20
Padul	18150	8322	756,75	41756844	728	Entre 70 y 80	Entre 0 y 10	Entre 80 y 90	Entre 90 y 100
Pampaneira	18151	352	1215,916667	892075	61	Entre 70 y 80	Entre 40 y 50	Entre 90 y 100	Entre 90 y 100
Pedro Martínez	18152	1218	43,24999995	2834448	113	Entre 90 y 100	Entre 0 y 10	Entre 90 y 100	Entre 70 y 80
Peligros	18153	11126	68,41666664	69958934	1209	Entre 90 y 100	Entre 0 y 10	Entre 90 y 100	Entre 90 y 100
Peza (La)	18154	1283	1511,5	3622766	115	Entre 70 y 80	Entre 90 y 100	Entre 90 y 100	Entre 90 y 100
Pinar (El)	18910	1021	127,1666667	3134116	104	Entre 80 y 90	Entre 0 y 10	Entre 0 y 10	Entre 0 y 10
Pinos Genil	18157	1406	106,5833334	8187758	322	Entre 70 y 80	Entre 0 y 10	Entre 90 y 100	Entre 90 y 100
Pinos Puente	18158	12903	134,9166666	40253313	1690	Entre 90 y 100	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Píñar	18159	1270	1702,583333	3849741	136	Entre 90 y 100	Entre 0 y 10	Entre 70 y 80	Entre 90 y 100
Polícar	18161	225	101,0833334	690222	20	Entre 90 y 100	Entre 0 y 10	Entre 70 y 80	Entre 0 y 10
Polopos	18162	1686	23,08333335	5674453	255	Entre 0 y 10	Entre 0 y 10	Entre 0 y 10	Entre 0 y 10
Pórtugos	18163	372	95,41666665	1368331	57	Entre 70 y 80	Entre 0 y 10	Entre 90 y 100	Entre 80 y 90
Puebla de Don Fadrique	18164	2370	43,83333335	7708444	170	Entre 90 y 100	Entre 0 y 10	Entre 90 y 100	Entre 90 y 100
Pulianas	18165	5326	184,5833333	26195109	1034	Entre 80 y 90	Entre 0 y 10	Entre 90 y 100	Entre 80 y 90
Purullena	18167	2453	834,4166667	7225381	361	Entre 70 y 80	Entre 90 y 100	Entre 90 y 100	Entre 90 y 100
Quéntar	18168	1020	327,75	3632633	156	Entre 80 y 90	Entre 0 y 10	Entre 90 y 100	Entre 90 y 100
Rubite	18170	501	133,1666667	885412	2	Entre 70 y 80	Entre 0 y 10	Entre 0 y 10	Entre 0 y 10
Salar	18171	2757	34,91666667	8438166	357	Entre 0 y 10	Entre 0 y 10	Entre 50 y 60	Entre 10 y 20
Salobreña	18173	12509	221,6666667	54139710	2665	Entre 90 y 100	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Santa Cruz del Comercio	18174	571	1487,166667	1571944	73	Entre 60 y 70	Entre 10 y 20	Entre 80 y 90	Entre 90 y 100
Santa Fe	18175	15323	39,49999998	72540926	1899	Entre 90 y 100	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Soportújar	18176	287	2083,333333	757537	25	Entre 80 y 90	Entre 90 y 100	Entre 90 y 100	Entre 90 y 100
Sorvilán	18177	572	21,66666666	2042911	31	Entre 90 y 100	Entre 0 y 10	Entre 90 y 100	Entre 60 y 70
Taha (La)	18901	719	30,49999997	2531448	140	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100	Entre 50 y 60
Torre-Cardela	18178	860	74,16666666	2530081	79	Entre 0 y 10	Entre 0 y 10	Entre 60 y 70	Entre 90 y 100
Torvizcón	18179	734	48,58333333	2335615	79	Entre 60 y 70	Entre 0 y 10	Entre 90 y 100	Entre 90 y 100
Trevélez	18180	810	68,33333335	2890387	174	Entre 80 y 90	Entre 0 y 10	Entre 0 y 10	Entre 0 y 10
Turón	18181	284	79,08333334	350895	0	Entre 90 y 100	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Ugíjar	18182	2638	12	7877665	347	Entre 0 y 10	Entre 0 y 10	Entre 0 y 10	Entre 60 y 70
Valle (El)	18902	1052	271,4166667	3766966	153	Entre 80 y 90	Entre 0 y 10	Entre 90 y 100	Entre 90 y 100
Valle del Zalabí	18907	2259	61,75000001	8337779	344	Entre 0 y 10	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Válor	18183	609	156	2636681	128	Entre 40 y 50	Entre 0 y 10	Entre 90 y 100	Entre 70 y 80
Vegas del Genil	18911	10003	61,91666666	64945205	2395	Entre 90 y 100	Entre 0 y 10	Entre 70 y 80	Entre 80 y 90
Vélez de Benaudalla	18184	2890	1297,916667	10763942	448	Entre 70 y 80	Entre 0 y 10	Entre 90 y 100	Entre 90 y 100
Ventas de Huelma	18185	693	305,5833333	2342829	35	Entre 90 y 100	Entre 80 y 90	Entre 80 y 90	Entre 90 y 100
Villa de Otura	18149	6868	68,74999998	55905613	1220	Entre 90 y 100	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Villamena	18908	1031	100,5833333	3779902	113	Entre 90 y 100	Entre 0 y 10	Entre 90 y 100	Entre 90 y 100
Villanueva de las Torres	18187	695	69,25	1403001	92	Entre 90 y 100	Entre 0 y 10	Entre 90 y 100	Entre 80 y 90
Villanueva Mesía	18188	2085	139,3333333	6639739	270	Entre 90 y 100	Entre 0 y 10	Entre 0 y 10	Entre 0 y 10
Víznar	18189	982	88,16666665	5505516	209	Entre 80 y 90	Entre 0 y 10	Entre 90 y 100	Entre 90 y 100
Zafarraya	18192	1980	189,5	7020013	325	Entre 40 y 50	Entre 0 y 10	Entre 90 y 100	Entre 70 y 80
Zagra	18913	900	44,0833333	2995495	138	Entre 80 y 90	Entre 0 y 10	Entre 80 y 90	Entre 90 y 100
Zubia (La)	18193	18595	2337,5	122503264	2723	Entre 50 y 60	Entre 0 y 10	Entre 90 y 100	Entre 90 y 100
Zújar	18194	2930	237,0000001	9924627	316	Entre 90 y 100	Entre 90 y 100	Entre 90 y 100	Entre 90 y 100
Alájar	21001	805	132,75	2010502	52	Entre 0 y 10	Entre 0 y 10	Entre 0 y 10	Entre 50 y 60
Aljaraque	21002	19492	2250,083333	180200025	3305	Entre 80 y 90	Entre 0 y 10	Entre 0 y 10	Entre 80 y 90
Almendro (El)	21003	847	120,25	3482944	85	Entre 60 y 70	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Almonaster la Real	21004	1809	230,8333333	6850540	115	Entre 70 y 80	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Almonte	21005	22964	2045,583333	92392058	1898	Entre 30 y 40	Entre 0 y 10	Entre 0 y 10	Entre 60 y 70
Alosno	21006	4152	607,8333333	12975415	534	Entre 90 y 100	Entre 30 y 40	Entre 10 y 20	Entre 90 y 100
Aracena	21007	7900	1077,25	41825868	1663	Entre 90 y 100	Entre 0 y 10	Entre 30 y 40	Entre 90 y 100
Aroche	21008	3233	276,9166666	9648905	88	Entre 80 y 90	Entre 40 y 50	Entre 0 y 10	Entre 90 y 100
Arroyomolinos de León	21009	1023	162,5833333	2938175	128	Entre 0 y 10	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Ayamonte	21010	20406	2386,333333	91228877	2565	Entre 90 y 100	Entre 0 y 10	Entre 0 y 10	Entre 0 y 10
Beas	21011	4336	399	20464390	734	Entre 70 y 80	Entre 40 y 50	Entre 60 y 70	Entre 90 y 100
Berrocal	21012	300	35,41666667	1410208	39	Entre 80 y 90	Entre 0 y 10	Entre 20 y 30	Entre 90 y 100
Bollullos Par del Condado	21013	14394	1080,25	63308909	1446	Entre 0 y 10	Entre 0 y 10	Entre 0 y 10	Entre 60 y 70
Bonares	21014	6282	368,4166667	27776946	890	Entre 90 y 100	Entre 50 y 60	Entre 0 y 10	Entre 90 y 100
Cabezas Rubias	21015	781	81,50000001	2052992	70	Entre 90 y 100	Entre 90 y 100	Entre 0 y 10	Entre 90 y 100
Cala	21016	1264	226,5833333	4913712	229	Entre 0 y 10	Entre 0 y 10	Entre 40 y 50	Entre 90 y 100
Calañas	21017	4165	665,6666667	18516535	353	Entre 90 y 100	Entre 0 y 10	Entre 0 y 10	Entre 0 y 10
Campillo (El)	21018	2169	351,5	11237280	359	Entre 60 y 70	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Campofrío	21019	708	139,8333333	3742640	120	Entre 90 y 100	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Cañaveral de León	21020	426	63,91666666	1002602	71	Entre 90 y 100	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Cartaya	21021	19323	1788,5	88839936	1759	Entre 90 y 100	Entre 0 y 10	Entre 0 y 10	Entre 20 y 30
Castaño del Robledo	21022	209	27,83333333	583540	0	Entre 80 y 90	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Cerro de Andévalo (El)	21023	2400	270	8904537	82	Entre 0 y 10	Entre 0 y 10	Entre 0 y 10	Entre 60 y 70
Chucena	21030	2057	140,8333333	8513700	308	Entre 80 y 90	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Corteconcepción	21024	550	91,91666668	2008689	93	Entre 90 y 100	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Cortegana	21025	4898	616,75	21649061	726	Entre 60 y 70	Entre 0 y 10	Entre 0 y 10	Entre 80 y 90
Cortelazor	21026	277	41,75000001	988251	52	Entre 80 y 90	Entre 0 y 10	Entre 0 y 10	Entre 80 y 90
Cumbres de Enmedio	21027	52	8,58333331	47293	0	Entre 0 y 10	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Cumbres de San Bartolomé	21028	437	42,41666666	1314882	67	Entre 0 y 10	Entre 0 y 10	Entre 0 y 10	Entre 0 y 10
Cumbres Mayores	21029	1888	261,5833334	7719441	325	Entre 0 y 10	Entre 0 y 10	Entre 0 y 10	Entre 0 y 10
Encinasola	21031	1353	139,1666666	4537504	163	Entre 90 y 100	Entre 0 y 10	Entre 0 y 10	Entre 30 y 40
Escacena del Campo	21032	1802	175,6666666	8275233	251	Entre 0 y 10	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Fuenteheridos	21033	478	121,4166667	2382040	142	Entre 90 y 100	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Galaroza	21034	1548	232,1666667	5242165	233	Entre 90 y 100	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Gibraleón	21035	12411	1584	54633777	1152	Entre 90 y 100	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Granada de Río-Tinto (La)	21036	217	56,24999997	531428	33	Entre 70 y 80	Entre 10 y 20	Entre 70 y 80	Entre 90 y 100
Granado (El)	21037	566	64,33333337	2009209	61	Entre 0 y 10	Entre 0 y 10	Entre 0 y 10	Entre 60 y 70
Higuera de la Sierra	21038	1369	236,9166667	4716380	205	Entre 0 y 10	Entre 0 y 10	Entre 0 y 10	Entre 0 y 10
Hinojales	21039	298	35,83333332	1166734	0	Entre 90 y 100	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
